epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1
1,1.6496902126455706,0.38468237035746944,0.33446924129989763,1.4315022057957119,0.46987112504353884,0.3693737070822512
2,1.3760135421181787,0.49087821657160274,0.4309742209394797,1.3681192696094513,0.5168930686172065,0.435852713448103
3,1.276356939153751,0.5231418992467454,0.46658809599742135,1.2631341914335887,0.5600835945663531,0.5015620584733269
4,1.2134248606009737,0.5445639395654635,0.48688415441104255,1.206472036573622,0.5599094392197841,0.48163570526419014
5,1.157086601496407,0.5610658771280533,0.5064581124182076,1.1370290517807007,0.5768025078369906,0.5104374163404466
6,1.1125003590889295,0.5789611181260069,0.5268657055966008,1.1600465575853984,0.5677464298153954,0.5322355846896426
7,1.0780820720375082,0.5918491749031218,0.5421425573628057,1.1020954635408189,0.5747126436781609,0.5448752618289351
8,1.0425121506940687,0.599642965994688,0.5520357402149265,1.1330227553844452,0.5994427028909788,0.5638057254568734
9,1.012936036068749,0.6118343710541211,0.5677568922569587,1.0661440326107874,0.6151166840822013,0.5573326852474301
10,0.9921907470418883,0.6202812731310141,0.5793360955372269,1.0679377204842038,0.6104144897248346,0.5630799846269847
11,0.9704766104148291,0.6249836722253669,0.5835024652755717,1.100502665175332,0.6100661790316962,0.5715311344042566
12,0.9299246323473939,0.6389602473113598,0.6031241472079251,1.0414684335390727,0.6266109369557645,0.592445748692663
13,0.9076423777843252,0.646405712544085,0.6138293986792883,1.0739071991708544,0.6069313827934517,0.5551551409799245
14,0.8788974834683878,0.6532851482561937,0.6226435033309675,1.0624853644106123,0.6330546847788228,0.5913349401922771
15,0.8570430189122065,0.6673488048068968,0.6390668852591403,1.0565396262539757,0.6370602577499129,0.5986488035066962
16,0.7638141306163873,0.6959550659642095,0.6814164459919038,1.0220699061950047,0.6581330546847788,0.6304168336180239
17,0.7220760732474101,0.7075804415030261,0.7002355377116831,1.0166595783498553,0.6631835597352839,0.6385062528483635
18,0.6981736647385408,0.7198153872948143,0.7137529249705951,1.0780783414840698,0.6635318704284221,0.6328188586016414
19,0.6753173825800585,0.7293943484129403,0.722327353285169,1.0663199398252698,0.6704980842911877,0.6464850940631318
20,0.6559611061655379,0.7343579919014238,0.7317617916780146,1.0948240982161628,0.6692789968652038,0.6496844473285569
21,0.5926626188094237,0.7612226237645318,0.7602597646172081,1.1223978575732974,0.675896900034831,0.6530391537780817
22,0.550127713046034,0.7739365176122263,0.7805033394898402,1.1777871251106262,0.6755485893416928,0.6558933268134882
